endTime,artistName,trackName,msPlayed
2022-05-15 05:11,Duki,Si Te Sentis Sola,104927
2022-05-15 05:15,Paulo Londra,Adan y Eva,258638
2022-05-15 05:16,El Alfa,La Mamá de la Mamá,53494
2022-05-15 05:20,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217466
2022-05-15 05:24,Sean Paul,No Lie,221176
2022-05-15 05:27,Calvin Harris,One Kiss (with Dua Lipa),214846
2022-05-15 05:31,Mark Ronson,Valerie (feat. Amy Winehouse) - Version Revisited,219413
2022-05-15 05:34,Harry Styles,Watermelon Sugar,174000
2022-05-15 05:37,WILLOW,Wait a Minute!,196520
2022-05-15 05:37,Billie Eilish,lovely (with Khalid),7292
2022-05-15 05:41,The Weeknd,Blinding Lights,200040
2022-05-15 05:44,Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus),217099
2022-05-15 05:46,LP,Lost on You,97738
2022-05-15 05:49,Miranda!,Don,183973
2022-05-15 05:49,Miranda!,Perfecta,33608
2022-05-15 05:52,Miranda!,Ya Lo Sabía,178800
2022-05-15 05:56,Miranda!,Me Gustas Tanto,219821
2022-05-15 06:01,Tan Bionica,La Melodía de Dios,285306
2022-05-15 06:05,Tan Bionica,Beautiful,216386
2022-05-15 06:05,Tan Bionica,Ciudad Mágica,18517
2022-05-15 06:17,Tan Bionica,Música,281380
2022-05-15 06:18,Nathan Evans,Wellerman - Sea Shanty,2972
2022-05-15 06:21,Sonya Belousova,Toss A Coin To Your Witcher,190306
2022-05-15 06:25,Joseph Trapanese,"Burn Butcher Burn - from ""The Witcher: Season 2"" Soundtrack",159430
2022-05-15 06:28,Babasónicos,Y qué,187477
2022-05-15 06:31,Babasónicos,Yegua,149573
2022-05-15 06:35,Babasónicos,Los Calientes,237718
2022-05-15 06:43,Rod Stewart,It's A Heartache,7680
2022-05-15 06:57,Charles Strouse,Annie: It's the Hard-Knock Life,3093
2022-05-15 07:00,Major Lazer,Lean On (feat. MØ & DJ Snake),176561
2022-05-15 07:04,Avicii,Wake Me Up,247426
2022-05-15 07:07,Drake,One Dance,173986
2022-05-15 07:11,DNCE,Cake By The Ocean,219146
2022-05-15 07:14,Skrillex,Bangarang (feat. Sirah),2717
2022-05-15 07:14,Imagine Dragons,Radioactive,186813
2022-05-15 07:17,MAGIC!,Rude,224840
2022-05-15 07:21,The Chainsmokers,Don't Let Me Down,208373
2022-05-15 07:25,The Weeknd,In The Night,235653
2022-05-15 07:29,Bruno Mars,Locked out of Heaven,233478
2022-05-15 07:32,Twenty One Pilots,Stressed Out,202333
2022-05-15 07:36,Fall Out Boy,Centuries,228360
2022-05-15 07:40,Avicii,Waiting For Love,230613
2022-05-15 07:44,Sia,Cheap Thrills (feat. Sean Paul),224813
2022-05-15 07:47,ZAYN,PILLOWTALK,202746
2022-05-15 07:50,Swedish House Mafia,Don't You Worry Child - Radio Edit,212862
2022-05-15 07:57,Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),369626
2022-05-15 08:00,Axwell /\ Ingrosso,Sun Is Shining,7955
2022-05-15 08:00,One Direction,Drag Me Down,192120
2022-05-15 08:00,G-Eazy,"Me, Myself & I",3754
2022-05-15 08:04,The Chainsmokers,Something Just Like This,247160
2022-05-15 08:05,Hardwell,Young Again,44841
2022-05-16 16:28,Twenty One Pilots,Stressed Out,2368
2022-05-16 16:32,Post Malone,rockstar (feat. 21 Savage),218146
2022-05-16 16:35,Martin Garrix,In the Name of Love,195706
2022-05-16 16:38,Calvin Harris,Under Control (feat. Hurts),184280
2022-05-16 16:42,Calvin Harris,This Is What You Came For,222160
2022-05-16 16:43,Twenty One Pilots,Heavydirtysoul,86058
2022-05-16 19:49,Justin Bieber,What Do You Mean?,205680
2022-05-16 19:50,Fall Out Boy,Immortals,46001
2022-05-16 19:54,Maroon 5,Animals,231013
2022-05-16 19:55,Rae Sremmurd,Black Beatles,94332
2022-05-16 19:59,Hardwell,Young Again,219534
2022-05-16 20:01,Clean Bandit,Rather Be (feat. Jess Glynne),122109
2022-05-17 16:21,Los Fabulosos Cadillacs,Calaveras y Diablitos,264026
2022-05-17 16:24,Los Fabulosos Cadillacs,Siguiendo la Luna - Remasterizado 2008,163846
2022-05-17 21:30,Los Fabulosos Cadillacs,Siguiendo la Luna - Remasterizado 2008,128030
2022-05-17 21:34,Los Fabulosos Cadillacs,Padre Nuestro,272640
2022-05-17 21:37,Los Fabulosos Cadillacs,Yo No Me Sentaría en Tu Mesa - Remasterizado 2008,174306
2022-05-17 21:41,Los Fabulosos Cadillacs,El Satánico Dr. Cadillac - Remasterizado 2008,241333
2022-05-17 21:44,Los Fabulosos Cadillacs,Vos Sabes - Versión Remasterizada 2008,189893
2022-05-17 21:46,Los Fabulosos Cadillacs,Carnaval Toda la Vida - Remasterizado 2008,95125
2022-05-18 20:49,Los Fabulosos Cadillacs,Carnaval Toda la Vida - Remasterizado 2008,368802
2022-05-18 23:15,Los Fabulosos Cadillacs,Yo No Me Sentaría en Tu Mesa - Remasterizado 2008,8789
2022-05-18 23:18,Fito Paez,11 Y 6,178266
2022-05-18 23:21,Los Cafres,Si El Amor Se Cae,8250
2022-05-18 23:21,No Te Va Gustar,A las Nueve,207533
2022-05-18 23:23,Divididos,Ala Delta,103786
2022-05-19 15:40,La Portuaria,Selva,2112
2022-05-19 15:44,Los Fabulosos Cadillacs,El Satánico Dr. Cadillac - Remasterizado 2008,241333
